,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-01-02,333.239379,271.3394067849396,419.95718276356354,333.239379,333.239379,13.256402445524214,13.256402445524214,13.256402445524214,-4.503389420161764,-4.503389420161764,-4.503389420161764,17.75979186568598,17.75979186568598,17.75979186568598,0.0,0.0,0.0,346.4957814455242
1,2010-01-04,333.1793162652733,280.1483792828126,427.30230938766204,333.1793162652733,333.1793162652733,17.925070710301373,17.925070710301373,17.925070710301373,-0.18985557185323212,-0.18985557185323212,-0.18985557185323212,18.114926282154606,18.114926282154606,18.114926282154606,0.0,0.0,0.0,351.1043869755747
2,2010-01-06,333.11925353054664,268.951185446777,423.6679315530013,333.11925353054664,333.11925353054664,17.997495679436714,17.997495679436714,17.997495679436714,-0.04832780208725901,-0.04832780208725901,-0.04832780208725901,18.045823481523975,18.045823481523975,18.045823481523975,0.0,0.0,0.0,351.11674920998337
3,2010-01-07,333.0892221631833,276.508257811776,422.55133315132326,333.0892221631833,333.0892221631833,16.606443072214564,16.606443072214564,16.606443072214564,-1.2585772590046997,-1.2585772590046997,-1.2585772590046997,17.86502033121926,17.86502033121926,17.86502033121926,0.0,0.0,0.0,349.6956652353979
4,2010-01-09,333.0291594284566,266.9754680747464,424.7201647171657,333.0291594284566,333.0291594284566,12.747814104277587,12.747814104277587,12.747814104277587,-4.503389420159443,-4.503389420159443,-4.503389420159443,17.25120352443703,17.25120352443703,17.25120352443703,0.0,0.0,0.0,345.7769735327342
5,2010-01-10,332.99912806109324,281.6021021740252,424.1535288415412,332.99912806109324,332.99912806109324,22.401608004565052,22.401608004565052,22.401608004565052,5.5634668010785395,5.5634668010785395,5.5634668010785395,16.838141203486508,16.838141203486508,16.838141203486508,0.0,0.0,0.0,355.4007360656583
6,2010-01-11,332.9690966937299,279.98072628810615,423.2868612428028,332.9690966937299,332.9690966937299,16.179191059201457,16.179191059201457,16.179191059201457,-0.18985557186276408,-0.18985557186276408,-0.18985557186276408,16.369046631064222,16.369046631064222,16.369046631064222,0.0,0.0,0.0,349.14828775293137
7,2010-01-12,332.9390653263666,269.4758678203367,419.1096851368913,332.9390653263666,332.9390653263666,14.903579441038831,14.903579441038831,14.903579441038831,-0.9519806958524442,-0.9519806958524442,-0.9519806958524442,15.855560136891274,15.855560136891274,15.855560136891274,0.0,0.0,0.0,347.84264476740543
8,2010-01-13,332.9090339590032,272.4311328827532,418.80894739058243,332.9090339590032,332.9090339590032,15.261060317360046,15.261060317360046,15.261060317360046,-0.04832780207994702,-0.04832780207994702,-0.04832780207994702,15.309388119439994,15.309388119439994,15.309388119439994,0.0,0.0,0.0,348.1700942763632
9,2010-01-14,332.87900259163985,265.3722366503503,422.0743630981057,332.87900259163985,332.87900259163985,13.483392722537202,13.483392722537202,13.483392722537202,-1.2585772590095206,-1.2585772590095206,-1.2585772590095206,14.741969981546722,14.741969981546722,14.741969981546722,0.0,0.0,0.0,346.36239531417704
10,2010-01-15,332.8489712242765,273.9318727979522,420.7188174576615,332.8489712242765,332.8489712242765,15.552823847334258,15.552823847334258,15.552823847334258,1.3886639478499403,1.3886639478499403,1.3886639478499403,14.164159899484318,14.164159899484318,14.164159899484318,0.0,0.0,0.0,348.40179507161076
11,2010-01-18,332.7588771221865,272.56408340319,414.4453597282189,332.7588771221865,332.7588771221865,12.272362677653955,12.272362677653955,12.272362677653955,-0.1898555718612611,-0.1898555718612611,-0.1898555718612611,12.462218249515216,12.462218249515216,12.462218249515216,0.0,0.0,0.0,345.0312397998405
12,2010-01-19,332.7288457548231,273.40616405397344,418.0183538477574,332.7288457548231,332.7288457548231,10.978179285133889,10.978179285133889,10.978179285133889,-0.9519806958358794,-0.9519806958358794,-0.9519806958358794,11.930159980969767,11.930159980969767,11.930159980969767,0.0,0.0,0.0,343.707025039957
13,2010-01-20,332.6988143874598,269.6529082704939,419.1070467288036,332.6988143874598,332.6988143874598,11.37592925814992,11.37592925814992,11.37592925814992,-0.04832780205495379,-0.04832780205495379,-0.04832780205495379,11.424257060204875,11.424257060204875,11.424257060204875,0.0,0.0,0.0,344.0747436456097
14,2010-01-21,332.66878302009644,264.4160899034039,410.5851605313518,332.66878302009644,332.66878302009644,9.688531226036952,9.688531226036952,9.688531226036952,-1.2585772590143423,-1.2585772590143423,-1.2585772590143423,10.947108485051295,10.947108485051295,10.947108485051295,0.0,0.0,0.0,342.3573142461334
15,2010-01-22,332.6387516527331,267.64862355733374,417.3004855788488,332.6387516527331,332.6387516527331,11.888267468328776,11.888267468328776,11.888267468328776,1.3886639478448481,1.3886639478448481,1.3886639478448481,10.499603520483928,10.499603520483928,10.499603520483928,0.0,0.0,0.0,344.52701912106187
16,2010-01-25,332.5486575506431,267.91307554316603,414.7939676108517,332.5486575506431,332.5486575506431,9.129867023322614,9.129867023322614,9.129867023322614,-0.18985557185975807,-0.18985557185975807,-0.18985557185975807,9.319722595182371,9.319722595182371,9.319722595182371,0.0,0.0,0.0,341.6785245739657
17,2010-01-27,332.48859481591643,267.0480780499319,411.37155990556494,332.48859481591643,332.48859481591643,8.581194129091989,8.581194129091989,8.581194129091989,-0.04832780207645049,-0.04832780207645049,-0.04832780207645049,8.62952193116844,8.62952193116844,8.62952193116844,0.0,0.0,0.0,341.06978894500844
18,2010-01-28,332.4585634485531,262.24128313260707,415.5442819754804,332.4585634485531,332.4585634485531,7.037669161766926,7.037669161766926,7.037669161766926,-1.2585772589988988,-1.2585772589988988,-1.2585772589988988,8.296246420765826,8.296246420765826,8.296246420765826,0.0,0.0,0.0,339.49623261032
19,2010-01-29,332.4285320811897,270.6087414144578,415.02980834360295,332.4285320811897,332.4285320811897,9.350543888417608,9.350543888417608,9.350543888417608,1.388663947845517,1.388663947845517,1.388663947845517,7.961879940572091,7.961879940572091,7.961879940572091,0.0,0.0,0.0,341.77907596960733
